,album,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,F*CK LOVE 3+: OVER YOU,OVER YOU,0.431,0.454,0.718,0.0,0.163,-5.084,0.107,141.556,0.275,54
1,F*CK LOVE 3+: OVER YOU,NOT SOBER (feat. Polo G & Stunna Gambino),0.0928,0.671,0.639,0.0,0.0941,-6.852,0.134,119.82,0.385,54
2,F*CK LOVE 3+: OVER YOU,STAY (with Justin Bieber),0.0383,0.591,0.764,0.0,0.103,-5.484,0.0483,169.928,0.478,53
3,F*CK LOVE 3+: OVER YOU,SAME ENERGY,0.135,0.676,0.494,0.0,0.0995,-7.077,0.261,169.685,0.756,54
4,F*CK LOVE 3+: OVER YOU,DON'T LEAVE ME (feat. G Herbo & Lil Durk),0.0917,0.639,0.727,0.0,0.111,-5.23,0.0901,75.992,0.256,48
5,F*CK LOVE 3+: OVER YOU,BAD NEWS,0.071,0.55,0.533,0.0,0.12,-6.853,0.0441,87.48,0.171,51
6,F*CK LOVE 3+: OVER YOU,STILL CHOSE YOU (feat. Mustard),0.41,0.724,0.5,0.0,0.115,-7.112,0.259,97.694,0.317,55
7,F*CK LOVE 3+: OVER YOU,I DON'T KNOW,0.0319,0.53,0.673,0.0,0.148,-6.851,0.0584,160.886,0.406,56
8,F*CK LOVE 3+: OVER YOU,ABOUT YOU,0.0116,0.632,0.508,0.0,0.0992,-8.435,0.0842,163.985,0.0647,56
9,F*CK LOVE 3+: OVER YOU,LONELY AND F*CKED UP,0.0421,0.752,0.631,0.0,0.188,-6.809,0.0495,124.983,0.502,59
10,F*CK LOVE 3+: OVER YOU,SITUATION,0.0551,0.754,0.836,0.0,0.265,-5.991,0.29,76.528,0.244,53
11,F*CK LOVE 3+: OVER YOU,ATTENTION,0.0274,0.878,0.583,0.0,0.393,-7.053,0.0729,132.939,0.32,55
12,F*CK LOVE 3+: OVER YOU,BEST FOR ME,0.553,0.536,0.482,0.0,0.123,-6.749,0.0311,90.966,0.185,60
13,F*CK LOVE 3+: OVER YOU,PIKACHU,0.0662,0.747,0.487,0.0,0.36,-7.064,0.125,92.978,0.248,48
14,F*CK LOVE 3+: OVER YOU,SO DONE,0.232,0.719,0.598,0.0,0.115,-6.254,0.077,142.592,0.303,49
15,F*CK LOVE 3+: OVER YOU,TRAGIC (feat. Youngboy Never Broke Again & Internet Money),0.0383,0.779,0.642,0.0,0.2,-6.321,0.116,82.363,0.388,49
16,F*CK LOVE 3+: OVER YOU,ALWAYS DO,0.0442,0.762,0.426,0.0,0.0858,-6.865,0.113,167.827,0.582,50
17,F*CK LOVE 3+: OVER YOU,FEEL SOMETHING (feat. Marshmello),0.059,0.523,0.609,0.0,0.14,-7.802,0.191,154.051,0.374,48
18,F*CK LOVE 3+: OVER YOU,"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",0.0693,0.721,0.632,0.0,0.291,-6.695,0.0358,92.057,0.296,50
19,F*CK LOVE 3+: OVER YOU,WITHOUT YOU,0.213,0.662,0.413,0.0,0.134,-7.357,0.0299,93.005,0.467,47
20,F*CK LOVE 3+: OVER YOU,BOOTY CALL (skit),0.978,0.773,0.398,0.0,0.413,-11.494,0.871,56.284,0.556,39
21,F*CK LOVE 3+: OVER YOU,MAYBE,0.00556,0.606,0.533,0.0,0.292,-4.833,0.077,89.079,0.156,48
22,F*CK LOVE 3+: OVER YOU,WRONG (feat. Lil Mosey),0.038,0.389,0.768,0.0,0.119,-4.765,0.256,90.146,0.334,47
23,F*CK LOVE 3+: OVER YOU,I WISH,0.0375,0.788,0.656,0.0,0.127,-6.974,0.047,138.981,0.549,46
24,F*CK LOVE 3+: OVER YOU,NOT FAIR (feat. Corbin),0.468,0.412,0.657,0.0,0.318,-5.535,0.124,76.342,0.625,49
25,F*CK LOVE 3+: OVER YOU,BATHROOM (skit),0.94,0.8,0.743,0.0,0.774,-9.05,0.912,116.899,0.593,3
26,F*CK LOVE 3+: OVER YOU,GO (feat. Juice WRLD),0.157,0.487,0.74,0.0,0.612,-4.973,0.0944,73.779,0.522,47
27,F*CK LOVE 3+: OVER YOU,TELL ME WHY,0.109,0.6,0.723,0.0,0.167,-4.928,0.158,149.881,0.463,46
28,F*CK LOVE 3+: OVER YOU,SAME THING,0.0225,0.662,0.659,0.0,0.107,-4.642,0.155,135.95,0.363,46
29,F*CK LOVE 3+: OVER YOU,NEW GUY (skit),0.977,0.766,0.363,9.1e-06,0.575,-12.35,0.949,85.494,0.0529,2
