,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Måneskin,Beggin',0.714,0.8,11,-4.808,0,0.0504,0.127,0,0.359,0.589,134.002,audio_features,3Wrjm47oTz2sjIgck11l5e,spotify:track:3Wrjm47oTz2sjIgck11l5e,https://api.spotify.com/v1/tracks/3Wrjm47oTz2sjIgck11l5e,https://api.spotify.com/v1/audio-analysis/3Wrjm47oTz2sjIgck11l5e,211560,4
1,Tayc,N'y pense plus,0.556,0.633,2,-7.381,0,0.27,0.444,0,0.0744,0.45,93.329,audio_features,5KCH6zWcx5qUYbmp0uaaE7,spotify:track:5KCH6zWcx5qUYbmp0uaaE7,https://api.spotify.com/v1/tracks/5KCH6zWcx5qUYbmp0uaaE7,https://api.spotify.com/v1/audio-analysis/5KCH6zWcx5qUYbmp0uaaE7,212007,4
2,Pop Smoke,Armed N Dangerous - Charlie Sloth Freestyle,0.754,0.724,8,-7.282,0,0.103,0.539,0.0326,0.112,0.655,143.548,audio_features,18bum1uNxoHQ8WwbOlMY9Z,spotify:track:18bum1uNxoHQ8WwbOlMY9Z,https://api.spotify.com/v1/tracks/18bum1uNxoHQ8WwbOlMY9Z,https://api.spotify.com/v1/audio-analysis/18bum1uNxoHQ8WwbOlMY9Z,146720,4
3,Pop Smoke,Element,0.772,0.878,2,-4.22,1,0.324,0.0301,2.18e-06,0.251,0.305,61.311,audio_features,57BGVV6wcyhbn3hsjlqEZB,spotify:track:57BGVV6wcyhbn3hsjlqEZB,https://api.spotify.com/v1/tracks/57BGVV6wcyhbn3hsjlqEZB,https://api.spotify.com/v1/audio-analysis/57BGVV6wcyhbn3hsjlqEZB,135747,5
4,Travis Scott,FRANCHISE (feat. Young Thug & M.I.A.),0.835,0.699,8,-5.405,0,0.277,0.00671,0,0.195,0.547,154.981,audio_features,4jVBIpuOiMj1crqd8LoCrJ,spotify:track:4jVBIpuOiMj1crqd8LoCrJ,https://api.spotify.com/v1/tracks/4jVBIpuOiMj1crqd8LoCrJ,https://api.spotify.com/v1/audio-analysis/4jVBIpuOiMj1crqd8LoCrJ,202795,4
5,Joe,Ride wit U (feat. G-Unit),0.796,0.604,2,-5.376,0,0.0702,0.0212,0,0.0439,0.722,101.981,audio_features,28DDh8OK8Ls6dWEwz1Tm1A,spotify:track:28DDh8OK8Ls6dWEwz1Tm1A,https://api.spotify.com/v1/tracks/28DDh8OK8Ls6dWEwz1Tm1A,https://api.spotify.com/v1/audio-analysis/28DDh8OK8Ls6dWEwz1Tm1A,251880,4
6,Headie One,Princess Cuts (feat. Young T & Bugsey),0.576,0.597,1,-6.659,0,0.318,0.196,0,0.049,0.885,101.174,audio_features,63Sb1AMnhb37DR59uXZdQd,spotify:track:63Sb1AMnhb37DR59uXZdQd,https://api.spotify.com/v1/tracks/63Sb1AMnhb37DR59uXZdQd,https://api.spotify.com/v1/audio-analysis/63Sb1AMnhb37DR59uXZdQd,185080,4
7,Bow Wow,Ain't Thinkin' 'Bout You,0.54,0.617,1,-5.534,1,0.125,0.0113,0,0.088,0.127,116.635,audio_features,4GtvQ52U6f9LGkwjAqL60e,spotify:track:4GtvQ52U6f9LGkwjAqL60e,https://api.spotify.com/v1/tracks/4GtvQ52U6f9LGkwjAqL60e,https://api.spotify.com/v1/audio-analysis/4GtvQ52U6f9LGkwjAqL60e,230907,5
8,50 Cent,Hustler's Ambition,0.627,0.675,7,-8.299,1,0.284,0.265,0,0.309,0.662,87.93,audio_features,0dZlON0G0od05O549PikZU,spotify:track:0dZlON0G0od05O549PikZU,https://api.spotify.com/v1/tracks/0dZlON0G0od05O549PikZU,https://api.spotify.com/v1/audio-analysis/0dZlON0G0od05O549PikZU,237347,4
9,Swedish House Mafia,Moth To A Flame (with The Weeknd),0.542,0.659,8,-7.289,1,0.0389,0.00279,0,0.105,0.109,120.122,audio_features,7kfOEMJBJwdCYqyJeEnNhr,spotify:track:7kfOEMJBJwdCYqyJeEnNhr,https://api.spotify.com/v1/tracks/7kfOEMJBJwdCYqyJeEnNhr,https://api.spotify.com/v1/audio-analysis/7kfOEMJBJwdCYqyJeEnNhr,234000,4
