,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Kanye West,Jail,0.458,0.571,4,-6.739,1,0.0949,0.535,0.000305,0.0846,0.586,110.013,audio_features,6d8HN8MqqbqrEUI2bvx0aG,spotify:track:6d8HN8MqqbqrEUI2bvx0aG,https://api.spotify.com/v1/tracks/6d8HN8MqqbqrEUI2bvx0aG,https://api.spotify.com/v1/audio-analysis/6d8HN8MqqbqrEUI2bvx0aG,297000,4
1,Kanye West,Hurricane,0.587,0.561,0,-6.569,1,0.146,0.0466,0,0.109,0.351,80.009,audio_features,6Hfu9sc7jvv6coyy2LlzBF,spotify:track:6Hfu9sc7jvv6coyy2LlzBF,https://api.spotify.com/v1/tracks/6Hfu9sc7jvv6coyy2LlzBF,https://api.spotify.com/v1/audio-analysis/6Hfu9sc7jvv6coyy2LlzBF,243187,4
2,Kanye West,Praise God,0.798,0.545,1,-6.466,1,0.168,0.00904,9.48e-05,0.258,0.212,118.029,audio_features,0WSEq9Ko4kFPt8yo3ICd6T,spotify:track:0WSEq9Ko4kFPt8yo3ICd6T,https://api.spotify.com/v1/tracks/0WSEq9Ko4kFPt8yo3ICd6T,https://api.spotify.com/v1/audio-analysis/0WSEq9Ko4kFPt8yo3ICd6T,226653,4
3,Kanye West,Off The Grid,0.546,0.64,8,-5.582,1,0.37,0.0438,0,0.137,0.63,137.728,audio_features,6LNoArVBBVZzUTUiAX2aKO,spotify:track:6LNoArVBBVZzUTUiAX2aKO,https://api.spotify.com/v1/tracks/6LNoArVBBVZzUTUiAX2aKO,https://api.spotify.com/v1/audio-analysis/6LNoArVBBVZzUTUiAX2aKO,339250,4
4,Kanye West,Ok Ok,0.738,0.471,11,-9.208,0,0.402,0.319,1.28e-06,0.13,0.283,107.98,audio_features,5LuXsO34x6KVlL8OWsxRqk,spotify:track:5LuXsO34x6KVlL8OWsxRqk,https://api.spotify.com/v1/tracks/5LuXsO34x6KVlL8OWsxRqk,https://api.spotify.com/v1/audio-analysis/5LuXsO34x6KVlL8OWsxRqk,204630,5
5,Kanye West,Pure Souls,0.381,0.528,5,-6.997,1,0.0449,0.102,0,0.269,0.256,97.207,audio_features,5aqUqSq0SqGBAqEn27PEzc,spotify:track:5aqUqSq0SqGBAqEn27PEzc,https://api.spotify.com/v1/tracks/5aqUqSq0SqGBAqEn27PEzc,https://api.spotify.com/v1/audio-analysis/5aqUqSq0SqGBAqEn27PEzc,358622,4
6,Kanye West,Come to Life,0.44,0.465,3,-6.592,1,0.0318,0.689,1.26e-06,0.384,0.241,126.937,audio_features,5xvXeuxISyXJDRbZZf4uzd,spotify:track:5xvXeuxISyXJDRbZZf4uzd,https://api.spotify.com/v1/tracks/5xvXeuxISyXJDRbZZf4uzd,https://api.spotify.com/v1/audio-analysis/5xvXeuxISyXJDRbZZf4uzd,310394,4
7,Zion.T,The Song,0.815,0.613,7,-5.009,1,0.0323,0.716,0,0.114,0.46,94.979,audio_features,2jiC29jZ2zaaP5vOR6xa1M,spotify:track:2jiC29jZ2zaaP5vOR6xa1M,https://api.spotify.com/v1/tracks/2jiC29jZ2zaaP5vOR6xa1M,https://api.spotify.com/v1/audio-analysis/2jiC29jZ2zaaP5vOR6xa1M,216627,4
8,G-DRAGON,"무제(無題) (Untitled, 2014)",0.583,0.461,4,-5.153,1,0.0321,0.785,1.7e-05,0.13,0.263,79.826,audio_features,16BS342F89MDqouSxgLaUK,spotify:track:16BS342F89MDqouSxgLaUK,https://api.spotify.com/v1/tracks/16BS342F89MDqouSxgLaUK,https://api.spotify.com/v1/audio-analysis/16BS342F89MDqouSxgLaUK,222868,4
9,Zion.T,Sorry,0.819,0.66,4,-4.01,1,0.181,0.635,0,0.175,0.869,97.024,audio_features,33N2tkgwUJ7dB4eCscHpMR,spotify:track:33N2tkgwUJ7dB4eCscHpMR,https://api.spotify.com/v1/tracks/33N2tkgwUJ7dB4eCscHpMR,https://api.spotify.com/v1/audio-analysis/33N2tkgwUJ7dB4eCscHpMR,186192,4
10,Sigala,Give Me Your Love,0.633,0.947,2,-2.332,1,0.0354,0.00458,3.96e-05,0.341,0.683,124.973,audio_features,1plzDKavZ6EkVk91RPYd1L,spotify:track:1plzDKavZ6EkVk91RPYd1L,https://api.spotify.com/v1/tracks/1plzDKavZ6EkVk91RPYd1L,https://api.spotify.com/v1/audio-analysis/1plzDKavZ6EkVk91RPYd1L,207280,4
11,HONNE,Me & You ◑,0.769,0.546,0,-8.27,0,0.0387,0.645,0.000231,0.0948,0.603,120.22,audio_features,1ITJTMrS4cx8zdlI7DdSoo,spotify:track:1ITJTMrS4cx8zdlI7DdSoo,https://api.spotify.com/v1/tracks/1ITJTMrS4cx8zdlI7DdSoo,https://api.spotify.com/v1/audio-analysis/1ITJTMrS4cx8zdlI7DdSoo,243601,4
12,Birds Of Tokyo,Lanterns,0.404,0.654,0,-7.894,1,0.0399,0.246,0.049,0.137,0.312,168.428,audio_features,1w1LOtv2BM2C5pK4LG7SJ6,spotify:track:1w1LOtv2BM2C5pK4LG7SJ6,https://api.spotify.com/v1/tracks/1w1LOtv2BM2C5pK4LG7SJ6,https://api.spotify.com/v1/audio-analysis/1w1LOtv2BM2C5pK4LG7SJ6,262814,4
13,Olivia Rodrigo,good 4 u,0.562,0.643,9,-5.025,1,0.141,0.297,0,0.0848,0.672,166.814,audio_features,6P4d1NWBCNIYZjzF9k1mVN,spotify:track:6P4d1NWBCNIYZjzF9k1mVN,https://api.spotify.com/v1/tracks/6P4d1NWBCNIYZjzF9k1mVN,https://api.spotify.com/v1/audio-analysis/6P4d1NWBCNIYZjzF9k1mVN,178147,4
14,Kanye West,All Falls Down,0.646,0.691,8,-5.991,0,0.408,0.194,0,0.637,0.538,90.742,audio_features,0vGsFFCP4Z1GNXpZmSMfhf,spotify:track:0vGsFFCP4Z1GNXpZmSMfhf,https://api.spotify.com/v1/tracks/0vGsFFCP4Z1GNXpZmSMfhf,https://api.spotify.com/v1/audio-analysis/0vGsFFCP4Z1GNXpZmSMfhf,221067,4
15,Olivia Rodrigo,deja vu,0.442,0.596,9,-7.272,1,0.109,0.584,6.62e-06,0.39,0.166,181.278,audio_features,3ucQ4DLpH8RgyzqYBMnDpj,spotify:track:3ucQ4DLpH8RgyzqYBMnDpj,https://api.spotify.com/v1/tracks/3ucQ4DLpH8RgyzqYBMnDpj,https://api.spotify.com/v1/audio-analysis/3ucQ4DLpH8RgyzqYBMnDpj,215507,4
16,Kanye West,Through The Wire,0.571,0.739,7,-6.11,1,0.247,0.00865,5.21e-06,0.158,0.66,83.089,audio_features,4mmkhcEm1Ljy1U9nwtsxUo,spotify:track:4mmkhcEm1Ljy1U9nwtsxUo,https://api.spotify.com/v1/tracks/4mmkhcEm1Ljy1U9nwtsxUo,https://api.spotify.com/v1/audio-analysis/4mmkhcEm1Ljy1U9nwtsxUo,221227,4
17,BTS,Dope,0.595,0.89,10,-3.109,0,0.245,0.0486,0,0.32,0.62,154.071,audio_features,7jPCPDYoiaKeK7cgNGpIzq,spotify:track:7jPCPDYoiaKeK7cgNGpIzq,https://api.spotify.com/v1/tracks/7jPCPDYoiaKeK7cgNGpIzq,https://api.spotify.com/v1/audio-analysis/7jPCPDYoiaKeK7cgNGpIzq,240021,4
18,BTS,Butter,0.759,0.459,8,-5.187,1,0.0948,0.00323,0,0.0906,0.695,109.997,audio_features,1mWdTewIgB3gtBM3TOSFhB,spotify:track:1mWdTewIgB3gtBM3TOSFhB,https://api.spotify.com/v1/tracks/1mWdTewIgB3gtBM3TOSFhB,https://api.spotify.com/v1/audio-analysis/1mWdTewIgB3gtBM3TOSFhB,164442,4
19,BTS,Dynamite,0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,audio_features,5QDLhrAOJJdNAmCTJ8xMyW,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,https://api.spotify.com/v1/tracks/5QDLhrAOJJdNAmCTJ8xMyW,https://api.spotify.com/v1/audio-analysis/5QDLhrAOJJdNAmCTJ8xMyW,199054,4
20,Kanye West,Remote Control,0.792,0.548,4,-7.079,1,0.082,0.0784,7.26e-05,0.167,0.197,110.105,audio_features,45N9i9QraLWD6GW7xBqxnx,spotify:track:45N9i9QraLWD6GW7xBqxnx,https://api.spotify.com/v1/tracks/45N9i9QraLWD6GW7xBqxnx,https://api.spotify.com/v1/audio-analysis/45N9i9QraLWD6GW7xBqxnx,198614,4
21,EXO-CBX,Hey Mama!,0.532,0.859,1,-4.106,1,0.142,0.0662,0,0.684,0.934,118.919,audio_features,20bWnhRylVPnTpfsuIzorG,spotify:track:20bWnhRylVPnTpfsuIzorG,https://api.spotify.com/v1/tracks/20bWnhRylVPnTpfsuIzorG,https://api.spotify.com/v1/audio-analysis/20bWnhRylVPnTpfsuIzorG,199796,4
22,BIGBANG,IF YOU,0.669,0.447,1,-6.271,1,0.0305,0.524,0,0.167,0.17,141.808,audio_features,6jjd5vJtgKwzMtxJeTlLqH,spotify:track:6jjd5vJtgKwzMtxJeTlLqH,https://api.spotify.com/v1/tracks/6jjd5vJtgKwzMtxJeTlLqH,https://api.spotify.com/v1/audio-analysis/6jjd5vJtgKwzMtxJeTlLqH,264281,4
23,Sigala,Easy Love,0.68,0.942,9,-4.208,1,0.0631,0.175,0.0013,0.117,0.647,123.976,audio_features,5s7xgzXtmY4gMjeSlgisjy,spotify:track:5s7xgzXtmY4gMjeSlgisjy,https://api.spotify.com/v1/tracks/5s7xgzXtmY4gMjeSlgisjy,https://api.spotify.com/v1/audio-analysis/5s7xgzXtmY4gMjeSlgisjy,229813,4
24,BTS,Permission to Dance,0.702,0.741,9,-5.33,1,0.0427,0.00544,0,0.337,0.646,124.925,audio_features,0LThjFY2iTtNdd4wviwVV2,spotify:track:0LThjFY2iTtNdd4wviwVV2,https://api.spotify.com/v1/tracks/0LThjFY2iTtNdd4wviwVV2,https://api.spotify.com/v1/audio-analysis/0LThjFY2iTtNdd4wviwVV2,187585,4
25,Olivia Rodrigo,drivers license,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,audio_features,5wANPM4fQCJwkGd4rN57mH,spotify:track:5wANPM4fQCJwkGd4rN57mH,https://api.spotify.com/v1/tracks/5wANPM4fQCJwkGd4rN57mH,https://api.spotify.com/v1/audio-analysis/5wANPM4fQCJwkGd4rN57mH,242013,4
