,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Rihanna,Kiss It Better,0.619,0.806,3,-4.8,0,0.0483,0.272,0,0.0671,0.877,95.0,audio_features,7bmqcI1HQwx1PWwYyZO0lg,spotify:track:7bmqcI1HQwx1PWwYyZO0lg,https://api.spotify.com/v1/tracks/7bmqcI1HQwx1PWwYyZO0lg,https://api.spotify.com/v1/audio-analysis/7bmqcI1HQwx1PWwYyZO0lg,253080,4
1,GAYLE,abcdefu,0.695,0.54,4,-5.692,1,0.0493,0.299,0,0.367,0.415,121.932,audio_features,4fouWK6XVHhzl78KzQ1UjL,spotify:track:4fouWK6XVHhzl78KzQ1UjL,https://api.spotify.com/v1/tracks/4fouWK6XVHhzl78KzQ1UjL,https://api.spotify.com/v1/audio-analysis/4fouWK6XVHhzl78KzQ1UjL,168602,4
2,Dua Lipa,Love Again,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,audio_features,5CSKbHjpqborGnlzagyaDo,spotify:track:5CSKbHjpqborGnlzagyaDo,https://api.spotify.com/v1/tracks/5CSKbHjpqborGnlzagyaDo,https://api.spotify.com/v1/audio-analysis/5CSKbHjpqborGnlzagyaDo,258004,4
3,Bad Bunny,DÁKITI,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,audio_features,4MzXwWMhyBbmu6hOcLVD49,spotify:track:4MzXwWMhyBbmu6hOcLVD49,https://api.spotify.com/v1/tracks/4MzXwWMhyBbmu6hOcLVD49,https://api.spotify.com/v1/audio-analysis/4MzXwWMhyBbmu6hOcLVD49,205090,4
4,Justin Bieber,Anyone,0.686,0.538,2,-8.026,1,0.0345,0.181,3.13e-06,0.113,0.584,115.884,audio_features,31qCy5ZaophVA81wtlwLc4,spotify:track:31qCy5ZaophVA81wtlwLc4,https://api.spotify.com/v1/tracks/31qCy5ZaophVA81wtlwLc4,https://api.spotify.com/v1/audio-analysis/31qCy5ZaophVA81wtlwLc4,190779,4
5,Bazzi,Mine,0.71,0.789,4,-3.874,1,0.0722,0.0161,2.77e-06,0.451,0.717,142.929,audio_features,7uzmGiiJyRfuViKKK3lVmR,spotify:track:7uzmGiiJyRfuViKKK3lVmR,https://api.spotify.com/v1/tracks/7uzmGiiJyRfuViKKK3lVmR,https://api.spotify.com/v1/audio-analysis/7uzmGiiJyRfuViKKK3lVmR,131064,4
6,Ruel,Dazed & Confused,0.688,0.5,2,-7.411,1,0.138,0.102,0,0.355,0.418,127.906,audio_features,2pyjbGTpJCPjMYwCbdymiF,spotify:track:2pyjbGTpJCPjMYwCbdymiF,https://api.spotify.com/v1/tracks/2pyjbGTpJCPjMYwCbdymiF,https://api.spotify.com/v1/audio-analysis/2pyjbGTpJCPjMYwCbdymiF,189608,3
7,HYGH Lofi Music,Redbone,0.649,0.159,3,-12.456,0,0.0488,0.961,0.946,0.106,0.214,80.045,audio_features,2P2UqSc0bJFSH9PhSZKw8Y,spotify:track:2P2UqSc0bJFSH9PhSZKw8Y,https://api.spotify.com/v1/tracks/2P2UqSc0bJFSH9PhSZKw8Y,https://api.spotify.com/v1/audio-analysis/2P2UqSc0bJFSH9PhSZKw8Y,96478,4
8,Troye Sivan,IN A DREAM,0.538,0.808,0,-5.644,1,0.132,0.019,1.99e-06,0.136,0.702,170.032,audio_features,1444RlH5FNC5fJmBcLB9xI,spotify:track:1444RlH5FNC5fJmBcLB9xI,https://api.spotify.com/v1/tracks/1444RlH5FNC5fJmBcLB9xI,https://api.spotify.com/v1/audio-analysis/1444RlH5FNC5fJmBcLB9xI,229614,4
9,Marshmello,Leave Before You Love Me (with Jonas Brothers),0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,audio_features,4qu63nuBpdn0qHUHuObEj1,spotify:track:4qu63nuBpdn0qHUHuObEj1,https://api.spotify.com/v1/tracks/4qu63nuBpdn0qHUHuObEj1,https://api.spotify.com/v1/audio-analysis/4qu63nuBpdn0qHUHuObEj1,154983,4
10,Tate McRae,lie to me,0.642,0.392,4,-7.846,0,0.0372,0.0151,0,0.352,0.0479,138.065,audio_features,4f9IfFvBFm7Gsf1IVEudyf,spotify:track:4f9IfFvBFm7Gsf1IVEudyf,https://api.spotify.com/v1/tracks/4f9IfFvBFm7Gsf1IVEudyf,https://api.spotify.com/v1/audio-analysis/4f9IfFvBFm7Gsf1IVEudyf,177440,4
11,Ruel,GROWING UP IS _____,0.673,0.729,0,-5.664,1,0.029,0.000983,0.000107,0.226,0.482,112.535,audio_features,2wJ1eOCIBwoQiN7xQtrTAY,spotify:track:2wJ1eOCIBwoQiN7xQtrTAY,https://api.spotify.com/v1/tracks/2wJ1eOCIBwoQiN7xQtrTAY,https://api.spotify.com/v1/audio-analysis/2wJ1eOCIBwoQiN7xQtrTAY,233588,4
12,Shawn Mendes,Wonder,0.333,0.637,1,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,audio_features,5KCbr5ndeby4y4ggthdiAb,spotify:track:5KCbr5ndeby4y4ggthdiAb,https://api.spotify.com/v1/tracks/5KCbr5ndeby4y4ggthdiAb,https://api.spotify.com/v1/audio-analysis/5KCbr5ndeby4y4ggthdiAb,172693,4
13,Daya,Bad Girl - JVKE Remix,0.834,0.662,5,-6.179,1,0.0407,0.522,9.07e-05,0.14,0.718,115.999,audio_features,0wp6ckRomrGJq2fD2CFOQE,spotify:track:0wp6ckRomrGJq2fD2CFOQE,https://api.spotify.com/v1/tracks/0wp6ckRomrGJq2fD2CFOQE,https://api.spotify.com/v1/audio-analysis/0wp6ckRomrGJq2fD2CFOQE,166223,4
14,Claire Rosinkranz,Frankenstein,0.826,0.745,2,-6.091,1,0.141,0.13,1.32e-05,0.178,0.883,119.92,audio_features,1xSmjB0t19q4CSJ0X0ymGB,spotify:track:1xSmjB0t19q4CSJ0X0ymGB,https://api.spotify.com/v1/tracks/1xSmjB0t19q4CSJ0X0ymGB,https://api.spotify.com/v1/audio-analysis/1xSmjB0t19q4CSJ0X0ymGB,202249,4
15,Machine Gun Kelly,emo girl (feat. WILLOW),0.41,0.881,2,-3.502,1,0.087,0.000406,4.26e-05,0.922,0.357,165.006,audio_features,2AAyBZmMVZSZfgzXRYJOWQ,spotify:track:2AAyBZmMVZSZfgzXRYJOWQ,https://api.spotify.com/v1/tracks/2AAyBZmMVZSZfgzXRYJOWQ,https://api.spotify.com/v1/audio-analysis/2AAyBZmMVZSZfgzXRYJOWQ,159096,4
16,WILLOW,Wait a Minute!,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,audio_features,0y60itmpH0aPKsFiGxmtnh,spotify:track:0y60itmpH0aPKsFiGxmtnh,https://api.spotify.com/v1/tracks/0y60itmpH0aPKsFiGxmtnh,https://api.spotify.com/v1/audio-analysis/0y60itmpH0aPKsFiGxmtnh,196520,4
17,M83,Midnight City,0.519,0.728,11,-5.41,0,0.0388,0.0188,1.53e-06,0.0656,0.248,105.028,audio_features,0gnyAfjj9sxtXmpcAf3AKu,spotify:track:0gnyAfjj9sxtXmpcAf3AKu,https://api.spotify.com/v1/tracks/0gnyAfjj9sxtXmpcAf3AKu,https://api.spotify.com/v1/audio-analysis/0gnyAfjj9sxtXmpcAf3AKu,243960,4
18,Latto,Big Energy (feat. DJ Khaled) - Remix,0.867,0.771,11,-3.688,0,0.0939,0.0385,0,0.133,0.715,106.021,audio_features,4nmD4awtUUCC4AGETpUiuP,spotify:track:4nmD4awtUUCC4AGETpUiuP,https://api.spotify.com/v1/tracks/4nmD4awtUUCC4AGETpUiuP,https://api.spotify.com/v1/audio-analysis/4nmD4awtUUCC4AGETpUiuP,181666,4
19,Troye Sivan,Angel Baby,0.559,0.559,11,-6.425,1,0.0358,0.0145,0,0.138,0.338,72.498,audio_features,2m6Ko3CY1qXNNja8AlugNc,spotify:track:2m6Ko3CY1qXNNja8AlugNc,https://api.spotify.com/v1/tracks/2m6Ko3CY1qXNNja8AlugNc,https://api.spotify.com/v1/audio-analysis/2m6Ko3CY1qXNNja8AlugNc,220780,4
20,Post Malone,One Right Now (with The Weeknd),0.687,0.781,1,-4.806,1,0.053,0.0361,0,0.0755,0.688,97.014,audio_features,00Blm7zeNqgYLPtW6zg8cj,spotify:track:00Blm7zeNqgYLPtW6zg8cj,https://api.spotify.com/v1/tracks/00Blm7zeNqgYLPtW6zg8cj,https://api.spotify.com/v1/audio-analysis/00Blm7zeNqgYLPtW6zg8cj,193507,4
21,Post Malone,Saint-Tropez,0.617,0.684,0,-3.618,1,0.0439,0.0545,0,0.104,0.295,132.113,audio_features,05mDaV9Vb3wrzjF6OPZnhq,spotify:track:05mDaV9Vb3wrzjF6OPZnhq,https://api.spotify.com/v1/tracks/05mDaV9Vb3wrzjF6OPZnhq,https://api.spotify.com/v1/audio-analysis/05mDaV9Vb3wrzjF6OPZnhq,150867,4
22,Post Malone,Hollywood's Bleeding,0.405,0.646,4,-3.206,0,0.0476,0.331,0,0.103,0.17,130.218,audio_features,7sWRlDoTDX8geTR8zzr2vt,spotify:track:7sWRlDoTDX8geTR8zzr2vt,https://api.spotify.com/v1/tracks/7sWRlDoTDX8geTR8zzr2vt,https://api.spotify.com/v1/audio-analysis/7sWRlDoTDX8geTR8zzr2vt,156267,4
23,Post Malone,Better Now,0.68,0.578,10,-5.804,1,0.04,0.331,0,0.135,0.341,145.038,audio_features,7dt6x5M1jzdTEt8oCbisTK,spotify:track:7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,231267,4
24,Lauv,Drugs & The Internet,0.437,0.551,2,-7.044,1,0.143,0.361,8.65e-05,0.333,0.245,88.941,audio_features,4VM8y5Tx6UBxzfuLvYrhFf,spotify:track:4VM8y5Tx6UBxzfuLvYrhFf,https://api.spotify.com/v1/tracks/4VM8y5Tx6UBxzfuLvYrhFf,https://api.spotify.com/v1/audio-analysis/4VM8y5Tx6UBxzfuLvYrhFf,178560,4
25,Lauv,"fuck, i'm lonely (with Anne-Marie)",0.809,0.547,9,-7.304,1,0.0609,0.46,0,0.0543,0.717,95.012,audio_features,09PGubKAMryhOWv1LHpCYz,spotify:track:09PGubKAMryhOWv1LHpCYz,https://api.spotify.com/v1/tracks/09PGubKAMryhOWv1LHpCYz,https://api.spotify.com/v1/audio-analysis/09PGubKAMryhOWv1LHpCYz,198973,4
26,Lauv,Changes,0.533,0.454,2,-8.366,1,0.161,0.456,0,0.237,0.203,148.177,audio_features,7cDpMO5wuWgvv3j4INRBeB,spotify:track:7cDpMO5wuWgvv3j4INRBeB,https://api.spotify.com/v1/tracks/7cDpMO5wuWgvv3j4INRBeB,https://api.spotify.com/v1/audio-analysis/7cDpMO5wuWgvv3j4INRBeB,160187,4
27,Lauv,Modern Loneliness,0.702,0.508,8,-7.105,1,0.035,0.144,0,0.108,0.143,82.009,audio_features,1eyek0KJEh2v5HQ9uQSybb,spotify:track:1eyek0KJEh2v5HQ9uQSybb,https://api.spotify.com/v1/tracks/1eyek0KJEh2v5HQ9uQSybb,https://api.spotify.com/v1/audio-analysis/1eyek0KJEh2v5HQ9uQSybb,252337,4
28,The Weeknd,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,audio_features,1oFAF1hdPOickyHgbuRjyX,spotify:track:1oFAF1hdPOickyHgbuRjyX,https://api.spotify.com/v1/tracks/1oFAF1hdPOickyHgbuRjyX,https://api.spotify.com/v1/audio-analysis/1oFAF1hdPOickyHgbuRjyX,191014,4
