,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,AC/DC,Thunderstruck,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,audio_features,57bgtoPSgt236HzfBOd8kj,spotify:track:57bgtoPSgt236HzfBOd8kj,https://api.spotify.com/v1/tracks/57bgtoPSgt236HzfBOd8kj,https://api.spotify.com/v1/audio-analysis/57bgtoPSgt236HzfBOd8kj,292880,4
1,Flowers,We Can Get Together,0.656,0.843,7,-6.594,1,0.113,0.000264,0.000357,0.111,0.647,145.039,audio_features,19CLG4DCbRTIRCoNyn1teP,spotify:track:19CLG4DCbRTIRCoNyn1teP,https://api.spotify.com/v1/tracks/19CLG4DCbRTIRCoNyn1teP,https://api.spotify.com/v1/audio-analysis/19CLG4DCbRTIRCoNyn1teP,226973,4
2,Tom Petty,Runnin' Down A Dream,0.471,0.956,9,-6.371,1,0.0403,0.000596,0.62,0.624,0.715,169.798,audio_features,5yAu4njFSdM47dfsTkQPZ2,spotify:track:5yAu4njFSdM47dfsTkQPZ2,https://api.spotify.com/v1/tracks/5yAu4njFSdM47dfsTkQPZ2,https://api.spotify.com/v1/audio-analysis/5yAu4njFSdM47dfsTkQPZ2,261813,4
3,The Killers,Mr. Brightside,0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,audio_features,003vvx7Niy0yvhvHt4a68B,spotify:track:003vvx7Niy0yvhvHt4a68B,https://api.spotify.com/v1/tracks/003vvx7Niy0yvhvHt4a68B,https://api.spotify.com/v1/audio-analysis/003vvx7Niy0yvhvHt4a68B,222973,4
4,Iron Maiden,Run to the Hills - 1998 Remaster,0.225,0.951,0,-4.654,1,0.0924,0.00837,0.000225,0.219,0.471,173.241,audio_features,4Z4ZLBzCXSlHSCaxZ3WS7p,spotify:track:4Z4ZLBzCXSlHSCaxZ3WS7p,https://api.spotify.com/v1/tracks/4Z4ZLBzCXSlHSCaxZ3WS7p,https://api.spotify.com/v1/audio-analysis/4Z4ZLBzCXSlHSCaxZ3WS7p,233947,4
5,Talking Heads,Once in a Lifetime - 2005 Remaster,0.644,0.919,2,-6.289,1,0.0561,0.181,0.134,0.622,0.871,117.459,audio_features,38Ngied9rBORlAbLYNCl4k,spotify:track:38Ngied9rBORlAbLYNCl4k,https://api.spotify.com/v1/tracks/38Ngied9rBORlAbLYNCl4k,https://api.spotify.com/v1/audio-analysis/38Ngied9rBORlAbLYNCl4k,259907,4
6,Gary Numan,Cars,0.545,0.578,2,-8.745,1,0.0406,0.0114,6.57e-05,0.0692,0.819,128.038,audio_features,4QQEzkxcONBthDLfzqIh9S,spotify:track:4QQEzkxcONBthDLfzqIh9S,https://api.spotify.com/v1/tracks/4QQEzkxcONBthDLfzqIh9S,https://api.spotify.com/v1/audio-analysis/4QQEzkxcONBthDLfzqIh9S,238907,4
7,Pink Floyd,Wish You Were Here,0.481,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.832,0.375,122.861,audio_features,6mFkJmJqdDVQ1REhVfGgd1,spotify:track:6mFkJmJqdDVQ1REhVfGgd1,https://api.spotify.com/v1/tracks/6mFkJmJqdDVQ1REhVfGgd1,https://api.spotify.com/v1/audio-analysis/6mFkJmJqdDVQ1REhVfGgd1,334744,4
8,Boogie Pimps,Somebody to Love (Salt Shaker Remix) - Radio Edit,0.817,0.741,11,-8.489,1,0.0433,0.0805,0.165,0.376,0.838,130.493,audio_features,5GOr2ve8y6EIFB4U7Kvavd,spotify:track:5GOr2ve8y6EIFB4U7Kvavd,https://api.spotify.com/v1/tracks/5GOr2ve8y6EIFB4U7Kvavd,https://api.spotify.com/v1/audio-analysis/5GOr2ve8y6EIFB4U7Kvavd,211667,4
9,D:Ream,Things Can Only Get Better,0.671,0.74,10,-12.43,0,0.0389,0.122,0,0.196,0.102,125.0,audio_features,5HmwYfynpGAjgrj4bp9eMy,spotify:track:5HmwYfynpGAjgrj4bp9eMy,https://api.spotify.com/v1/tracks/5HmwYfynpGAjgrj4bp9eMy,https://api.spotify.com/v1/audio-analysis/5HmwYfynpGAjgrj4bp9eMy,258000,4
10,Steppenwolf,Born To Be Wild,0.438,0.71,2,-12.412,1,0.0919,0.262,0.537,0.221,0.53,145.928,audio_features,63OFKbMaZSDZ4wtesuuq6f,spotify:track:63OFKbMaZSDZ4wtesuuq6f,https://api.spotify.com/v1/tracks/63OFKbMaZSDZ4wtesuuq6f,https://api.spotify.com/v1/audio-analysis/63OFKbMaZSDZ4wtesuuq6f,210373,4
11,Joy Division,Love Will Tear Us Apart,0.443,0.956,2,-6.198,1,0.0511,5.24e-05,0.825,0.135,0.909,146.754,audio_features,2JO3HwMRPeya8bXbtbyPcf,spotify:track:2JO3HwMRPeya8bXbtbyPcf,https://api.spotify.com/v1/tracks/2JO3HwMRPeya8bXbtbyPcf,https://api.spotify.com/v1/audio-analysis/2JO3HwMRPeya8bXbtbyPcf,206867,4
12,Roy Orbison,I Drove All Night,0.478,0.624,5,-11.16,1,0.0393,0.655,0.00197,0.114,0.579,138.708,audio_features,6U7QjXYOaLJ741cIWPBTyN,spotify:track:6U7QjXYOaLJ741cIWPBTyN,https://api.spotify.com/v1/tracks/6U7QjXYOaLJ741cIWPBTyN,https://api.spotify.com/v1/audio-analysis/6U7QjXYOaLJ741cIWPBTyN,226893,4
13,A Flock Of Seagulls,Space Age Love Song,0.493,0.534,2,-11.917,1,0.029,0.00211,0.00082,0.192,0.636,140.006,audio_features,6EwlLu39JZTDTJnnjFe07g,spotify:track:6EwlLu39JZTDTJnnjFe07g,https://api.spotify.com/v1/tracks/6EwlLu39JZTDTJnnjFe07g,https://api.spotify.com/v1/audio-analysis/6EwlLu39JZTDTJnnjFe07g,226587,4
14,Florence + The Machine,You've Got The Love,0.574,0.694,6,-4.697,1,0.0327,0.00481,0,0.102,0.401,109.85,audio_features,244AvzGQ4Ksa5637JQu5Gy,spotify:track:244AvzGQ4Ksa5637JQu5Gy,https://api.spotify.com/v1/tracks/244AvzGQ4Ksa5637JQu5Gy,https://api.spotify.com/v1/audio-analysis/244AvzGQ4Ksa5637JQu5Gy,168667,4
15,Sigma,Glitterball,0.491,0.763,0,-4.827,1,0.0325,0.0416,0,0.184,0.215,140.036,audio_features,3XQ7KQwUQfiaTU44mCYALZ,spotify:track:3XQ7KQwUQfiaTU44mCYALZ,https://api.spotify.com/v1/tracks/3XQ7KQwUQfiaTU44mCYALZ,https://api.spotify.com/v1/audio-analysis/3XQ7KQwUQfiaTU44mCYALZ,226293,4
16,George Ezra,Budapest,0.717,0.455,5,-8.303,1,0.0276,0.0846,0,0.11,0.389,127.812,audio_features,2ixsaeFioXJmMgkkbd4uj1,spotify:track:2ixsaeFioXJmMgkkbd4uj1,https://api.spotify.com/v1/tracks/2ixsaeFioXJmMgkkbd4uj1,https://api.spotify.com/v1/audio-analysis/2ixsaeFioXJmMgkkbd4uj1,200733,4
17,LMC,Take Me to the Clouds Above,0.613,0.936,1,-8.575,1,0.0568,0.00881,0.424,0.239,0.396,140.015,audio_features,4vDLYk9lY7QbnwmHOcIcL6,spotify:track:4vDLYk9lY7QbnwmHOcIcL6,https://api.spotify.com/v1/tracks/4vDLYk9lY7QbnwmHOcIcL6,https://api.spotify.com/v1/audio-analysis/4vDLYk9lY7QbnwmHOcIcL6,306857,4
18,Black Eyed Peas,I Gotta Feeling,0.743,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.96,audio_features,4kLLWz7srcuLKA7Et40PQR,spotify:track:4kLLWz7srcuLKA7Et40PQR,https://api.spotify.com/v1/tracks/4kLLWz7srcuLKA7Et40PQR,https://api.spotify.com/v1/audio-analysis/4kLLWz7srcuLKA7Et40PQR,289133,4
19,Pete Murray,Better Days,0.638,0.571,1,-7.311,1,0.0248,0.141,0.000141,0.275,0.339,113.978,audio_features,38ch7Tu4x3oMbmV2HjMG3q,spotify:track:38ch7Tu4x3oMbmV2HjMG3q,https://api.spotify.com/v1/tracks/38ch7Tu4x3oMbmV2HjMG3q,https://api.spotify.com/v1/audio-analysis/38ch7Tu4x3oMbmV2HjMG3q,222987,4
20,INXS,Don't Change,0.206,0.81,9,-6.492,1,0.0423,5.93e-05,0.0644,0.0855,0.155,163.552,audio_features,2j7z87EnqB1NFQts2db0VR,spotify:track:2j7z87EnqB1NFQts2db0VR,https://api.spotify.com/v1/tracks/2j7z87EnqB1NFQts2db0VR,https://api.spotify.com/v1/audio-analysis/2j7z87EnqB1NFQts2db0VR,268200,4
21,blink-182,I Miss You,0.423,0.714,11,-8.295,1,0.045,0.00113,6.28e-06,0.0855,0.593,110.017,audio_features,1AdYZ6X00nXmO613Y7GJOl,spotify:track:1AdYZ6X00nXmO613Y7GJOl,https://api.spotify.com/v1/tracks/1AdYZ6X00nXmO613Y7GJOl,https://api.spotify.com/v1/audio-analysis/1AdYZ6X00nXmO613Y7GJOl,227250,4
22,Coldplay,Yellow,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,audio_features,3AJwUDP919kvQ9QcozQPxg,spotify:track:3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg,266773,4
23,U2,Beautiful Day,0.536,0.928,11,-6.492,0,0.0589,0.0154,0.00134,0.2,0.389,136.258,audio_features,0gzqZ9d1jIKo9psEIthwXe,spotify:track:0gzqZ9d1jIKo9psEIthwXe,https://api.spotify.com/v1/tracks/0gzqZ9d1jIKo9psEIthwXe,https://api.spotify.com/v1/audio-analysis/0gzqZ9d1jIKo9psEIthwXe,248400,4
24,Pink Floyd,Comfortably Numb,0.472,0.366,11,-12.595,0,0.0286,0.15,0.312,0.0837,0.171,127.163,audio_features,5HNCy40Ni5BZJFw1TKzRsC,spotify:track:5HNCy40Ni5BZJFw1TKzRsC,https://api.spotify.com/v1/tracks/5HNCy40Ni5BZJFw1TKzRsC,https://api.spotify.com/v1/audio-analysis/5HNCy40Ni5BZJFw1TKzRsC,382297,4
25,Modern English,I Melt with You,0.535,0.801,0,-11.734,1,0.0345,0.00103,0.00329,0.0676,0.672,155.571,audio_features,3xzRBn3ywzobJrc1efC7Sb,spotify:track:3xzRBn3ywzobJrc1efC7Sb,https://api.spotify.com/v1/tracks/3xzRBn3ywzobJrc1efC7Sb,https://api.spotify.com/v1/audio-analysis/3xzRBn3ywzobJrc1efC7Sb,251573,4
