,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,target
0,SUPER-Hi,Following the Sun,0.734,0.828,6,-4.433,0,0.033,0.398,0.0225,0.136,0.717,127.023,audio_features,2sFbdDiEDpyCdP5nUCuGBm,spotify:track:2sFbdDiEDpyCdP5nUCuGBm,https://api.spotify.com/v1/tracks/2sFbdDiEDpyCdP5nUCuGBm,https://api.spotify.com/v1/audio-analysis/2sFbdDiEDpyCdP5nUCuGBm,205000,4,1
1,Latto,Big Energy,0.935,0.807,11,-3.838,0,0.114,0.0514,0,0.349,0.813,106.017,audio_features,6Zu3aw7FfjAF9WA0fA81Oq,spotify:track:6Zu3aw7FfjAF9WA0fA81Oq,https://api.spotify.com/v1/tracks/6Zu3aw7FfjAF9WA0fA81Oq,https://api.spotify.com/v1/audio-analysis/6Zu3aw7FfjAF9WA0fA81Oq,173182,4,1
2,Lizzo,About Damn Time,0.836,0.743,10,-6.305,0,0.0656,0.0995,0,0.335,0.722,108.966,audio_features,1PckUlxKqWQs3RlWXVBLw3,spotify:track:1PckUlxKqWQs3RlWXVBLw3,https://api.spotify.com/v1/tracks/1PckUlxKqWQs3RlWXVBLw3,https://api.spotify.com/v1/audio-analysis/1PckUlxKqWQs3RlWXVBLw3,191822,4,1
3,The Kid LAROI,Thousand Miles,0.376,0.657,7,-4.658,1,0.0768,0.0858,0,0.0884,0.203,80.565,audio_features,1r8ZCjfrQxoy2wVaBUbpwg,spotify:track:1r8ZCjfrQxoy2wVaBUbpwg,https://api.spotify.com/v1/tracks/1r8ZCjfrQxoy2wVaBUbpwg,https://api.spotify.com/v1/audio-analysis/1r8ZCjfrQxoy2wVaBUbpwg,164782,4,0
4,Calvin Harris,Potion (with Dua Lipa & Young Thug),0.824,0.697,11,-4.869,0,0.0473,0.158,4.11E-05,0.077,0.757,99.988,audio_features,7fYRg3CEbk6rNCuzNzMT06,spotify:track:7fYRg3CEbk6rNCuzNzMT06,https://api.spotify.com/v1/tracks/7fYRg3CEbk6rNCuzNzMT06,https://api.spotify.com/v1/audio-analysis/7fYRg3CEbk6rNCuzNzMT06,214460,4,0
5,Harry Styles,As It Was,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,4LRPiXqCikLlN15c3yImP7,spotify:track:4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/tracks/4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/audio-analysis/4LRPiXqCikLlN15c3yImP7,167303,4,0
6,Lost Frequencies,Where Are You Now,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,audio_features,3uUuGVFu1V7jTQL60S1r8z,spotify:track:3uUuGVFu1V7jTQL60S1r8z,https://api.spotify.com/v1/tracks/3uUuGVFu1V7jTQL60S1r8z,https://api.spotify.com/v1/audio-analysis/3uUuGVFu1V7jTQL60S1r8z,148197,4,1
7,Jack Harlow,First Class,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71E-06,0.113,0.324,106.998,audio_features,1rDQ4oMwGJI7B4tovsBOxc,spotify:track:1rDQ4oMwGJI7B4tovsBOxc,https://api.spotify.com/v1/tracks/1rDQ4oMwGJI7B4tovsBOxc,https://api.spotify.com/v1/audio-analysis/1rDQ4oMwGJI7B4tovsBOxc,173948,4,0
8,Vance Joy,Clarity,0.552,0.873,0,-6.065,1,0.0464,0.00137,0.000273,0.0966,0.62,125.059,audio_features,5c6lM2zjAF6MFoD8C1hiBr,spotify:track:5c6lM2zjAF6MFoD8C1hiBr,https://api.spotify.com/v1/tracks/5c6lM2zjAF6MFoD8C1hiBr,https://api.spotify.com/v1/audio-analysis/5c6lM2zjAF6MFoD8C1hiBr,227240,4,1
9,Post Malone,Cooped Up (with Roddy Ricch),0.669,0.773,0,-5.619,1,0.153,0.038,0,0.113,0.377,93.923,audio_features,7DwcBgdzqhFJltEaV1XF81,spotify:track:7DwcBgdzqhFJltEaV1XF81,https://api.spotify.com/v1/tracks/7DwcBgdzqhFJltEaV1XF81,https://api.spotify.com/v1/audio-analysis/7DwcBgdzqhFJltEaV1XF81,185857,4,0
10,Harry Styles,Late Night Talking,0.714,0.728,10,-4.595,1,0.0468,0.298,0,0.106,0.901,114.996,audio_features,1qEmFfgcLObUfQm0j1W2CK,spotify:track:1qEmFfgcLObUfQm0j1W2CK,https://api.spotify.com/v1/tracks/1qEmFfgcLObUfQm0j1W2CK,https://api.spotify.com/v1/audio-analysis/1qEmFfgcLObUfQm0j1W2CK,177955,4,1
11,Flume,Say Nothing (feat. MAY-A),0.478,0.822,2,-1.961,0,0.0642,0.101,6.60E-05,0.12,0.309,130.058,audio_features,424Uwmm1kNW07Ty1nOhSpl,spotify:track:424Uwmm1kNW07Ty1nOhSpl,https://api.spotify.com/v1/tracks/424Uwmm1kNW07Ty1nOhSpl,https://api.spotify.com/v1/audio-analysis/424Uwmm1kNW07Ty1nOhSpl,232959,4,1
12,Kanye West,True Love,0.712,0.861,5,-5.487,0,0.25,0.0182,6.09E-06,0.511,0.388,84.042,audio_features,06JvOZ39sK8D8SqiqfaxDU,spotify:track:06JvOZ39sK8D8SqiqfaxDU,https://api.spotify.com/v1/tracks/06JvOZ39sK8D8SqiqfaxDU,https://api.spotify.com/v1/audio-analysis/06JvOZ39sK8D8SqiqfaxDU,148571,4,0
13,5 Seconds of Summer,Me Myself & I,0.575,0.556,4,-5.107,1,0.0283,0.0303,0,0.0903,0.44,87.991,audio_features,0C9aH2f4LO8SPPqUWOrcbk,spotify:track:0C9aH2f4LO8SPPqUWOrcbk,https://api.spotify.com/v1/tracks/0C9aH2f4LO8SPPqUWOrcbk,https://api.spotify.com/v1/audio-analysis/0C9aH2f4LO8SPPqUWOrcbk,177879,4,0
14,Kendrick Lamar,N95,0.79,0.67,1,-5.527,1,0.105,0.377,2.32E-06,0.119,0.408,139.956,audio_features,2FeBslNBMdR9V58uv6hd2t,spotify:track:2FeBslNBMdR9V58uv6hd2t,https://api.spotify.com/v1/tracks/2FeBslNBMdR9V58uv6hd2t,https://api.spotify.com/v1/audio-analysis/2FeBslNBMdR9V58uv6hd2t,195950,4,0
15,WILLOW,Wait a Minute!,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94E-05,0.0943,0.672,101.003,audio_features,0y60itmpH0aPKsFiGxmtnh,spotify:track:0y60itmpH0aPKsFiGxmtnh,https://api.spotify.com/v1/tracks/0y60itmpH0aPKsFiGxmtnh,https://api.spotify.com/v1/audio-analysis/0y60itmpH0aPKsFiGxmtnh,196520,4,0
16,AnnenMayKantereit,Tom's Diner,0.68,0.428,6,-8.107,0,0.135,0.376,0.000344,0.355,0.334,98.222,audio_features,0oA9wBGDY4uyILLg4GymWP,spotify:track:0oA9wBGDY4uyILLg4GymWP,https://api.spotify.com/v1/tracks/0oA9wBGDY4uyILLg4GymWP,https://api.spotify.com/v1/audio-analysis/0oA9wBGDY4uyILLg4GymWP,269333,4,0
17,Dean Lewis,Hurtless,0.37,0.559,0,-5.589,1,0.0526,0.186,0,0.121,0.316,162.816,audio_features,6HJizCbaqaEQG1eLjn341Z,spotify:track:6HJizCbaqaEQG1eLjn341Z,https://api.spotify.com/v1/tracks/6HJizCbaqaEQG1eLjn341Z,https://api.spotify.com/v1/audio-analysis/6HJizCbaqaEQG1eLjn341Z,180274,4,0
18,Leah Kate,10 Things I Hate About You,0.544,0.786,8,-2.97,1,0.0501,0.00991,0,0.169,0.446,153.967,audio_features,6Jkm5kUldvIqxzI1Pa7nXH,spotify:track:6Jkm5kUldvIqxzI1Pa7nXH,https://api.spotify.com/v1/tracks/6Jkm5kUldvIqxzI1Pa7nXH,https://api.spotify.com/v1/audio-analysis/6Jkm5kUldvIqxzI1Pa7nXH,157138,4,1
19,Brothers,LET'S TROT!,0.872,0.696,2,-6.898,1,0.268,0.0918,0,0.164,0.758,135.087,audio_features,2oqlgNaWn1ewr3FNKYLoie,spotify:track:2oqlgNaWn1ewr3FNKYLoie,https://api.spotify.com/v1/tracks/2oqlgNaWn1ewr3FNKYLoie,https://api.spotify.com/v1/audio-analysis/2oqlgNaWn1ewr3FNKYLoie,188111,4,1
20,Havana Brown,We Run The Night - Teddy Cream Remix,0.657,0.882,9,-5.507,0,0.159,0.000641,0.00102,0.0623,0.512,132.077,audio_features,0qOvlEzD7xU35GLFT8DF1t,spotify:track:0qOvlEzD7xU35GLFT8DF1t,https://api.spotify.com/v1/tracks/0qOvlEzD7xU35GLFT8DF1t,https://api.spotify.com/v1/audio-analysis/0qOvlEzD7xU35GLFT8DF1t,174545,4,1
21,Tyga,Freaky Deaky,0.799,0.653,2,-5.453,0,0.037,0.019,0,0.0935,0.236,104.019,audio_features,3vySEUpD0tc801F2WZDLYw,spotify:track:3vySEUpD0tc801F2WZDLYw,https://api.spotify.com/v1/tracks/3vySEUpD0tc801F2WZDLYw,https://api.spotify.com/v1/audio-analysis/3vySEUpD0tc801F2WZDLYw,215281,4,0
