,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,AC/DC,Thunderstruck,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,audio_features,57bgtoPSgt236HzfBOd8kj,spotify:track:57bgtoPSgt236HzfBOd8kj,https://api.spotify.com/v1/tracks/57bgtoPSgt236HzfBOd8kj,https://api.spotify.com/v1/audio-analysis/57bgtoPSgt236HzfBOd8kj,292880,4
1,Flowers,We Can Get Together,0.656,0.843,7,-6.594,1,0.113,0.000264,0.000357,0.111,0.647,145.039,audio_features,19CLG4DCbRTIRCoNyn1teP,spotify:track:19CLG4DCbRTIRCoNyn1teP,https://api.spotify.com/v1/tracks/19CLG4DCbRTIRCoNyn1teP,https://api.spotify.com/v1/audio-analysis/19CLG4DCbRTIRCoNyn1teP,226973,4
2,Tom Petty,Runnin' Down A Dream,0.451,0.89,9,-12.737,1,0.0435,0.00045,0.167,0.495,0.412,169.934,audio_features,4AiMaeCXwsldpwvA5wu5gM,spotify:track:4AiMaeCXwsldpwvA5wu5gM,https://api.spotify.com/v1/tracks/4AiMaeCXwsldpwvA5wu5gM,https://api.spotify.com/v1/audio-analysis/4AiMaeCXwsldpwvA5wu5gM,292000,4
3,The Killers,Mr. Brightside,0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,audio_features,003vvx7Niy0yvhvHt4a68B,spotify:track:003vvx7Niy0yvhvHt4a68B,https://api.spotify.com/v1/tracks/003vvx7Niy0yvhvHt4a68B,https://api.spotify.com/v1/audio-analysis/003vvx7Niy0yvhvHt4a68B,222973,4
4,Iron Maiden,Run to the Hills - 2015 Remaster,0.249,0.943,0,-5.188,1,0.0669,0.0286,0.00401,0.162,0.458,173.671,audio_features,4Zc7TCHzuNwL0AFBlyLdyr,spotify:track:4Zc7TCHzuNwL0AFBlyLdyr,https://api.spotify.com/v1/tracks/4Zc7TCHzuNwL0AFBlyLdyr,https://api.spotify.com/v1/audio-analysis/4Zc7TCHzuNwL0AFBlyLdyr,233507,4
5,Talking Heads,Once in a Lifetime - 2005 Remaster,0.644,0.919,2,-6.289,1,0.0561,0.181,0.134,0.622,0.871,117.459,audio_features,38Ngied9rBORlAbLYNCl4k,spotify:track:38Ngied9rBORlAbLYNCl4k,https://api.spotify.com/v1/tracks/38Ngied9rBORlAbLYNCl4k,https://api.spotify.com/v1/audio-analysis/38Ngied9rBORlAbLYNCl4k,259907,4
6,Gary Numan,Cars,0.545,0.578,2,-8.745,1,0.0406,0.0114,6.57e-05,0.0692,0.819,128.038,audio_features,4QQEzkxcONBthDLfzqIh9S,spotify:track:4QQEzkxcONBthDLfzqIh9S,https://api.spotify.com/v1/tracks/4QQEzkxcONBthDLfzqIh9S,https://api.spotify.com/v1/audio-analysis/4QQEzkxcONBthDLfzqIh9S,238907,4
7,Pete Murray,Better Days,0.638,0.571,1,-7.311,1,0.0248,0.141,0.000141,0.275,0.339,113.978,audio_features,38ch7Tu4x3oMbmV2HjMG3q,spotify:track:38ch7Tu4x3oMbmV2HjMG3q,https://api.spotify.com/v1/tracks/38ch7Tu4x3oMbmV2HjMG3q,https://api.spotify.com/v1/audio-analysis/38ch7Tu4x3oMbmV2HjMG3q,222987,4
8,Pink Floyd,Wish You Were Here,0.481,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.832,0.375,122.861,audio_features,6mFkJmJqdDVQ1REhVfGgd1,spotify:track:6mFkJmJqdDVQ1REhVfGgd1,https://api.spotify.com/v1/tracks/6mFkJmJqdDVQ1REhVfGgd1,https://api.spotify.com/v1/audio-analysis/6mFkJmJqdDVQ1REhVfGgd1,334744,4
9,Black Eyed Peas,I Gotta Feeling,0.743,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.96,audio_features,4kLLWz7srcuLKA7Et40PQR,spotify:track:4kLLWz7srcuLKA7Et40PQR,https://api.spotify.com/v1/tracks/4kLLWz7srcuLKA7Et40PQR,https://api.spotify.com/v1/audio-analysis/4kLLWz7srcuLKA7Et40PQR,289133,4
10,LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,0.668,0.905,6,-5.395,1,0.038,0.00232,0.0331,0.141,0.667,128.658,audio_features,4zrl5YGi2OqMar45Kdn4BM,spotify:track:4zrl5YGi2OqMar45Kdn4BM,https://api.spotify.com/v1/tracks/4zrl5YGi2OqMar45Kdn4BM,https://api.spotify.com/v1/audio-analysis/4zrl5YGi2OqMar45Kdn4BM,171547,4
11,Boogie Pimps,Somebody to Love - Main Club Mix,0.842,0.604,11,-9.38,1,0.0567,0.021,0.663,0.108,0.779,130.502,audio_features,50v2JhRDBbQa7TpNIV3zmp,spotify:track:50v2JhRDBbQa7TpNIV3zmp,https://api.spotify.com/v1/tracks/50v2JhRDBbQa7TpNIV3zmp,https://api.spotify.com/v1/audio-analysis/50v2JhRDBbQa7TpNIV3zmp,312773,4
12,D:Ream,Things Can Only Get Better,0.671,0.74,10,-12.43,0,0.0389,0.122,0,0.196,0.102,125.0,audio_features,5HmwYfynpGAjgrj4bp9eMy,spotify:track:5HmwYfynpGAjgrj4bp9eMy,https://api.spotify.com/v1/tracks/5HmwYfynpGAjgrj4bp9eMy,https://api.spotify.com/v1/audio-analysis/5HmwYfynpGAjgrj4bp9eMy,258000,4
13,Steppenwolf,Born To Be Wild,0.438,0.71,2,-12.412,1,0.0919,0.262,0.537,0.221,0.53,145.928,audio_features,63OFKbMaZSDZ4wtesuuq6f,spotify:track:63OFKbMaZSDZ4wtesuuq6f,https://api.spotify.com/v1/tracks/63OFKbMaZSDZ4wtesuuq6f,https://api.spotify.com/v1/audio-analysis/63OFKbMaZSDZ4wtesuuq6f,210373,4
14,Joy Division,Love Will Tear Us Apart,0.443,0.956,2,-6.198,1,0.0511,5.24e-05,0.825,0.135,0.909,146.754,audio_features,2JO3HwMRPeya8bXbtbyPcf,spotify:track:2JO3HwMRPeya8bXbtbyPcf,https://api.spotify.com/v1/tracks/2JO3HwMRPeya8bXbtbyPcf,https://api.spotify.com/v1/audio-analysis/2JO3HwMRPeya8bXbtbyPcf,206867,4
15,Roy Orbison,I Drove All Night,0.478,0.624,5,-11.16,1,0.0393,0.655,0.00197,0.114,0.579,138.708,audio_features,6U7QjXYOaLJ741cIWPBTyN,spotify:track:6U7QjXYOaLJ741cIWPBTyN,https://api.spotify.com/v1/tracks/6U7QjXYOaLJ741cIWPBTyN,https://api.spotify.com/v1/audio-analysis/6U7QjXYOaLJ741cIWPBTyN,226893,4
16,A Flock Of Seagulls,Space Age Love Song,0.447,0.744,2,-4.613,1,0.0311,3.62e-05,0.106,0.21,0.552,139.959,audio_features,4FMsajq8hKiOmcJ7UzOhag,spotify:track:4FMsajq8hKiOmcJ7UzOhag,https://api.spotify.com/v1/tracks/4FMsajq8hKiOmcJ7UzOhag,https://api.spotify.com/v1/audio-analysis/4FMsajq8hKiOmcJ7UzOhag,226693,4
17,Florence + The Machine,You've Got The Love,0.574,0.694,6,-4.697,1,0.0327,0.00481,0,0.102,0.401,109.85,audio_features,244AvzGQ4Ksa5637JQu5Gy,spotify:track:244AvzGQ4Ksa5637JQu5Gy,https://api.spotify.com/v1/tracks/244AvzGQ4Ksa5637JQu5Gy,https://api.spotify.com/v1/audio-analysis/244AvzGQ4Ksa5637JQu5Gy,168667,4
18,Sigma,Glitterball,0.491,0.763,0,-4.827,1,0.0325,0.0416,0,0.184,0.215,140.036,audio_features,3XQ7KQwUQfiaTU44mCYALZ,spotify:track:3XQ7KQwUQfiaTU44mCYALZ,https://api.spotify.com/v1/tracks/3XQ7KQwUQfiaTU44mCYALZ,https://api.spotify.com/v1/audio-analysis/3XQ7KQwUQfiaTU44mCYALZ,226293,4
19,George Ezra,Budapest,0.717,0.455,5,-8.303,1,0.0276,0.0846,0,0.11,0.389,127.812,audio_features,2ixsaeFioXJmMgkkbd4uj1,spotify:track:2ixsaeFioXJmMgkkbd4uj1,https://api.spotify.com/v1/tracks/2ixsaeFioXJmMgkkbd4uj1,https://api.spotify.com/v1/audio-analysis/2ixsaeFioXJmMgkkbd4uj1,200733,4
